num,x_coord,y_coord,radius,angle_rad,label,is_pseudo,pseudo_types
523,5,-11,12.083,5.139,prime,0,
524,6,-11,12.53,5.2117,comp,0,
525,7,-11,13.0384,5.2791,comp,0,
526,8,-11,13.6015,5.3412,comp,0,
527,9,-11,14.2127,5.3981,comp,0,
528,10,-11,14.8661,5.4502,comp,0,
529,11,-11,15.5563,5.4978,comp,0,
530,12,-11,16.2788,5.5412,comp,0,
531,12,-10,15.6205,5.5884,comp,0,
532,12,-9,15.0,5.6397,comp,0,
533,12,-8,14.4222,5.6952,comp,0,
534,12,-7,13.8924,5.7551,comp,0,
535,12,-6,13.4164,5.8195,comp,0,
536,12,-5,13.0,5.8884,comp,0,
537,12,-4,12.6491,5.9614,comp,0,
538,12,-3,12.3693,6.0382,comp,0,
539,12,-2,12.1655,6.118,comp,0,
540,12,-1,12.0416,6.2,comp,0,
541,12,0,12.0,0.0,prime,0,
542,12,1,12.0416,0.0831,comp,0,
543,12,2,12.1655,0.1651,comp,0,
544,12,3,12.3693,0.245,comp,0,
545,12,4,12.6491,0.3218,comp,0,
546,12,5,13.0,0.3948,comp,0,
547,12,6,13.4164,0.4636,prime,0,
548,12,7,13.8924,0.5281,comp,0,
549,12,8,14.4222,0.588,comp,0,
550,12,9,15.0,0.6435,comp,0,
551,12,10,15.6205,0.6947,comp,0,
552,12,11,16.2788,0.7419,comp,0,
553,12,12,16.9706,0.7854,comp,0,
554,11,12,16.2788,0.8288,comp,0,
555,10,12,15.6205,0.8761,comp,0,
556,9,12,15.0,0.9273,comp,0,
557,8,12,14.4222,0.9828,prime,0,
558,7,12,13.8924,1.0427,comp,0,
559,6,12,13.4164,1.1071,comp,0,
560,5,12,13.0,1.176,comp,0,
561,4,12,12.6491,1.249,pseudo,1,CARMICHAEL|FERMAT_2|FERMAT_5|EULER_2|EULER_JACOBI_2
562,3,12,12.3693,1.3258,comp,0,
563,2,12,12.1655,1.4056,prime,0,
564,1,12,12.0416,1.4877,comp,0,
565,0,12,12.0,1.5708,comp,0,
566,-1,12,12.0416,1.6539,comp,0,
567,-2,12,12.1655,1.7359,comp,0,
568,-3,12,12.3693,1.8158,comp,0,
569,-4,12,12.6491,1.8925,prime,0,
570,-5,12,13.0,1.9656,comp,0,
571,-6,12,13.4164,2.0344,prime,0,
572,-7,12,13.8924,2.0989,comp,0,
573,-8,12,14.4222,2.1588,comp,0,
574,-9,12,15.0,2.2143,comp,0,
575,-10,12,15.6205,2.2655,comp,0,
576,-11,12,16.2788,2.3127,comp,0,
577,-12,12,16.9706,2.3562,prime,0,
578,-12,11,16.2788,2.3996,comp,0,
579,-12,10,15.6205,2.4469,comp,0,
580,-12,9,15.0,2.4981,comp,0,
581,-12,8,14.4222,2.5536,comp,0,
582,-12,7,13.8924,2.6135,comp,0,
583,-12,6,13.4164,2.6779,comp,0,
584,-12,5,13.0,2.7468,comp,0,
585,-12,4,12.6491,2.8198,comp,0,
586,-12,3,12.3693,2.8966,comp,0,
587,-12,2,12.1655,2.9764,prime,0,
588,-12,1,12.0416,3.0585,comp,0,
589,-12,0,12.0,3.1416,comp,0,
590,-12,-1,12.0416,3.2247,comp,0,
591,-12,-2,12.1655,3.3067,comp,0,
592,-12,-3,12.3693,3.3866,comp,0,
593,-12,-4,12.6491,3.4633,prime,0,
594,-12,-5,13.0,3.5364,comp,0,
595,-12,-6,13.4164,3.6052,comp,0,
596,-12,-7,13.8924,3.6697,comp,0,
597,-12,-8,14.4222,3.7296,comp,0,
598,-12,-9,15.0,3.7851,comp,0,
599,-12,-10,15.6205,3.8363,prime,0,
600,-12,-11,16.2788,3.8835,comp,0,
601,-12,-12,16.9706,3.927,prime,0,
602,-11,-12,16.2788,3.9704,comp,0,
603,-10,-12,15.6205,4.0177,comp,0,
